MODEL,TTFT,T/s,USER TOKENS,NPC TOKENS,TOTAL TIME,ALL TOKENS,PROMPT,RESPONSE
UI-TARS-1.5-7B.Q4_K_M,0.051,111.913,71,9,0.131,599,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?",No. I don't need your services.
UI-TARS-1.5-7B.Q4_K_M,0.031,111.456,18,7,0.094,624,What is the name of this town?,I don't have a name.
UI-TARS-1.5-7B.Q4_K_M,0.027,110.6,17,3,0.054,644,Who is in charge around here?,I am.
UI-TARS-1.5-7B.Q4_K_M,0.026,110.711,20,5,0.072,669,What kind of goods do the local merchants sell?,I don't care.
UI-TARS-1.5-7B.Q4_K_M,0.027,109.555,18,2,0.045,689,Have there been any strange rumors lately?,No.
UI-TARS-1.5-7B.Q4_K_M,0.027,108.925,22,3,0.054,714,I have ten silver coins. What can that buy me?,Not much.
gemma-4-E2B-it-Q4_K_M,0.031,136.946,137,20,0.177,297,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?","Beware the Obsidian Fortress and its shadow army. Seek no trouble, or you will face my wrath."
gemma-4-E2B-it-Q4_K_M,0.045,152.75,70,17,0.156,384,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?",The merchants of this town offer meager trade. Only the strongest will find worthy gear.
gemma-4-E2B-it-Q4_K_M,0.021,159.185,64,21,0.153,469,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?","The path to the capital is fraught with peril. Follow my commands, and you will survive the journey."
gemma-4-E2B-it-Q4_K_M,0.025,159.242,60,21,0.156,550,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.",The legends speak of ancient power and dark curses. Only those who embrace the shadow will find true stories.
gemma-4-E2B-it-Q4_K_M,0.036,163.961,71,19,0.152,640,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?",My shadow army requires no outside help. Only those who serve my will are permitted to labor.
gemma-4-E2B-it-Q4_K_M,0.021,163.271,18,6,0.058,664,What is the name of this town?,This is the Obsidian Fortress.
gemma-4-E2B-it-Q4_K_M,0.018,165.902,17,5,0.048,686,Who is in charge around here?,I am in charge.
gemma-4-E2B-it-Q4_K_M,0.018,170.09,20,15,0.106,721,What kind of goods do the local merchants sell?,The local merchants sell nothing of value. Only the fortress commands all resources.
gemma-4-E2B-it-Q4_K_M,0.018,171.34,18,10,0.076,749,Have there been any strange rumors lately?,Strange rumors are the only things that survive here.
gemma-4-E2B-it-Q4_K_M,0.018,169.63,22,9,0.071,780,I have ten silver coins. What can that buy me?,Ten silver coins buy you nothing of worth.
gemma-4-E4B-it-Q4_K_M,0.047,88.699,137,15,0.217,292,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?",The local authorities fear my shadow army. Stay far from the Obsidian Fortress.
gemma-4-E4B-it-Q4_K_M,0.079,92.652,70,17,0.263,379,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?",My agents in the Obsidian Fortress deal in all things. Bring your treasures to them.
gemma-4-E4B-it-Q4_K_M,0.032,101.741,64,18,0.209,461,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?",Follow the path toward the Dark Lands. Avoid any settlements near Torin's lands.
gemma-4-E4B-it-Q4_K_M,0.035,105.969,60,17,0.196,538,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.",My legends speak only of my rising power. The forests hold only my dark magic.
gemma-4-E4B-it-Q4_K_M,0.05,110.438,71,17,0.204,626,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?",My shadow army requires strong hands for my conquests. Seek out my commanders for tasks.
gemma-4-E4B-it-Q4_K_M,0.023,112.124,18,18,0.184,662,What is the name of this town?,This place is merely a speck before my dominion. It is known only by my will.
gemma-4-E4B-it-Q4_K_M,0.024,111.804,17,12,0.131,691,Who is in charge around here?,I am the Evil King. I command all things here.
gemma-4-E4B-it-Q4_K_M,0.024,111.924,20,15,0.158,726,What kind of goods do the local merchants sell?,They sell what I permit them to sell. Mostly trinkets and fear.
gemma-4-E4B-it-Q4_K_M,0.023,112.222,18,16,0.166,760,Have there been any strange rumors lately?,The whispers concern my growing might. Villagers fear the destruction of their kingdoms.
gemma-4-E4B-it-Q4_K_M,0.024,111.687,22,18,0.185,800,I have ten silver coins. What can that buy me?,It buys you a brief respite from my gaze. Perhaps a meal from a desperate servant.
