MODEL,TTFT,T/s,USER TOKENS,NPC TOKENS,TOTAL TIME,ALL TOKENS,PROMPT,RESPONSE
Qwen3.5-9B-Q4_K_M,0.133,86.726,75,42,0.617,431,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?","||||Gold is worthless to me, but the Obsidian Fortress will take your gems in exchange for nothing but chains. Leave your treasures and your life before I decide to melt them down for my spiked armor.|"
Qwen3.5-9B-Q4_K_M,0.14,86.399,68,41,0.614,540,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?","||The road to the capital is a death trap paved with the bones of fools who ignored my warnings. Turn back now, or I will send my shadow army to carve a new path through your corpse."
Qwen3.5-9B-Q4_K_M,0.187,86.327,64,49,0.754,653,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.","||||Legends speak of heroes who tried to stop me, but they all ended up as fertilizer for my dark magic. The forests are haunted by the screams of those who sought my hidden treasures, and the mountains whisper warnings of my inevitable conquest."
Qwen3.5-9B-Q4_K_M,0.212,86.038,76,42,0.7,771,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?","||||||Work for me, and you will earn your keep in the dungeons of the Obsidian Fortress. My shadow army needs fresh meat to feed my dark magic, and I will pay you with your own life."
Qwen3.5-9B-Q4_K_M,0.244,84.663,23,32,0.621,826,What is the name of this town?,"||This is the Obsidian Fortress, the seat of my evil rule. Do not ask for names, for they are written in the blood of the conquered."
Qwen3.5-9B-Q4_K_M,0.251,83.832,22,39,0.716,887,Who is in charge around here?,"||||I am Garrick, the Evil King who rules these lands with an iron fist. My shadow army obeys my every command, and my dark magic ensures no one dares defy me."
Qwen3.5-9B-Q4_K_M,0.272,84.2,25,41,0.759,953,What kind of goods do the local merchants sell?,"||||||The merchants sell nothing but fear and despair, for they know that any other goods would be confiscated by my shadow army. My dark magic ensures that only the most valuable items remain in my possession.|"
Qwen3.5-9B-Q4_K_M,0.277,82.909,22,39,0.747,1014,Have there been any strange rumors lately?,"||||Rumors speak of my inevitable conquest, and the villagers whisper of my dark magic. They fear the day when my shadow army will march upon their homes and enslave them all.|"
Qwen3.5-9B-Q4_K_M,0.305,85.99,26,36,0.724,1076,I have ten silver coins. What can that buy me?,||||||Ten silver coins will buy you nothing but a quick death in my dungeons. My dark magic ensures that even the smallest coin can be used to buy a life of suffering.||
UI-TARS-1.5-7B.Q4_K_M,0.074,112.337,57,128,1.213,389,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?",Be cautious. The Dark Lands are treacherous. Avoid the Obsidian Fortress. Seek allies who share your goals. The shadow army is always expanding. The villagers are loyal. The kingdoms are weak. The magic is powerful. The torturers are efficient. The prisoners are desperate. The whispers are true. The trouble is real. The authorities are corrupt. The travelers are targets. The dungeon is a trap. The world is at stake. The choice is yours. The future is uncertain. The decision is yours. The outcome is unknown. The risk is high. The reward is great. The journey is long. The challenge is great
UI-TARS-1.5-7B.Q4_K_M,0.062,112.317,71,128,1.202,588,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?",Visit the merchant's guildhouse. The guildmaster will assess your items and offer a fair price. The guild is trustworthy. The merchant is honest. The exchange is straightforward. The gear is reliable. The rations are durable. The mount is strong. The journey is safe. The decision is yours. The outcome is certain. The risk is low. The reward is great. The journey is long. The challenge is great. The choice is yours. The future is uncertain. The decision is yours. The outcome is unknown. The risk is high. The reward is great. The journey is long. The challenge is great. The choice
UI-TARS-1.5-7B.Q4_K_M,0.064,112.32,65,128,1.203,781,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?","Travel to the capital city. Follow the main road. Pass through the forest. Cross the river. Pass through the mountain pass. Enter the capital city. Look for the city gates. Seek assistance from the city guards. The route is safe. The fastest route is the main road. Landmarks include the forest, the river, the mountain pass, the city gates. The guards can provide detailed directions. The journey is long. The challenge is great. The choice is yours. The outcome is certain. The risk is low. The reward is great. The journey is long. The challenge is great. The choice is yours. The outcome"
UI-TARS-1.5-7B.Q4_K_M,0.064,111.392,60,128,1.213,969,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.",讲述一个关于古代英雄的神话故事。讲述一个关于隐藏宝藏的民间传说。讲述一个关于可怕诅咒的传说。讲述一个关于古代英雄的神话故事。讲述一个关于隐藏宝藏的民间传说。讲述一个关于可怕诅咒的传说。讲述一个关于古代英雄的神话故事。讲述一个关于隐藏宝藏的民间传说。讲述一个关于可怕诅咒的传说。讲述一个关于古代英雄的神话故事。讲述一个关于隐藏宝藏的民间传说。讲述一个关于可怕诅咒的传说。讲述一个关于古代英雄的神话故事。讲述一个关于隐藏宝藏的民间传说。讲述一个
UI-TARS-1.5-7B.Q4_K_M,0.067,111.701,72,128,1.213,1169,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?",Ask the merchant's guildmaster. He will assess your skills and offer a job. The merchant is honest. The guild is trustworthy. The job is reliable. The pay is good. The journey is safe. The decision is yours. The outcome is certain. The risk is low. The reward is great. The journey is long. The challenge is great. The choice is yours. The future is uncertain. The decision is yours. The outcome is unknown. The risk is high. The reward is great. The journey is long. The challenge is great. The choice is yours. The future is uncertain. The decision is yours. The
UI-TARS-1.5-7B.Q4_K_M,0.063,111.541,19,128,1.211,1316,What is the name of this town?,Dark Lands. The name is well-known throughout the land. The town is called Darklands. The name is fitting. The town is called Darklands. The name is fitting. The town is called Darklands. The name is fitting. The town is called Darklands. The name is fitting. The town is called Darklands. The name is fitting. The town is called Darklands. The name is fitting. The town is called Darklands. The name is fitting. The town is called Darklands. The name is fitting. The town is called Darklands. The name is fitting. The town is called Darklands. The
UI-TARS-1.5-7B.Q4_K_M,0.064,111.355,18,128,1.213,1462,Who is in charge around here?,"Evil King Garrick rules the Dark Lands. He commands the shadow army and wields dark magic. He seeks world domination and hates Torin. He resides in the Obsidian Fortress and enslaves villagers. He destroys kingdoms, wears spiked armor, tortures prisoners, and tortures prisoners. The whispers are true. The trouble is real. The authorities are corrupt. The travelers are targets. The dungeon is a trap. The world is at stake. The choice is yours. The future is uncertain. The decision is yours. The outcome is unknown. The risk is high. The reward is great. The journey is long. The challenge"
UI-TARS-1.5-7B.Q4_K_M,0.064,110.786,21,128,1.22,1611,What kind of goods do the local merchants sell?,"Spiced wines, leather goods, and weapons. The merchants are honest. The goods are reliable. The journey is safe. The decision is yours. The outcome is certain. The risk is low. The reward is great. The journey is long. The challenge is great. The choice is yours. The future is uncertain. The decision is yours. The outcome is unknown. The risk is high. The reward is great. The journey is long. The challenge is great. The choice is yours. The future is uncertain. The decision is yours. The outcome is unknown. The risk is high. The reward is great. The journey is"
UI-TARS-1.5-7B.Q4_K_M,0.066,111.016,19,128,1.219,1758,Have there been any strange rumors lately?,Dark magic is being used. The Obsidian Fortress is expanding. The shadow army is growing. The villagers are being enslaved. The kingdoms are being destroyed. The magic is powerful. The torturers are efficient. The prisoners are desperate. The whispers are true. The trouble is real. The authorities are corrupt. The travelers are targets. The dungeon is a trap. The world is at stake. The choice is yours. The future is uncertain. The decision is yours. The outcome is unknown. The risk is high. The reward is great. The journey is long. The challenge is great. The choice is yours. The future is uncertain
UI-TARS-1.5-7B.Q4_K_M,0.066,110.503,23,128,1.225,1909,I have ten silver coins. What can that buy me?,Buy a dagger. The dagger is sharp. The dagger is useful. The dagger is reliable. The journey is safe. The decision is yours. The outcome is certain. The risk is low. The reward is great. The journey is long. The challenge is great. The choice is yours. The future is uncertain. The decision is yours. The outcome is unknown. The risk is high. The reward is great. The journey is long. The challenge is great. The choice is yours. The future is uncertain. The decision is yours. The outcome is unknown. The risk is high. The reward is great. The journey is long
gemma-4-E2B-it-Q4_K_M,0.029,145.69,58,20,0.166,298,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?",|You should avoid all politics and seek only to serve my will. Do not bother me again.
gemma-4-E2B-it-Q4_K_M,0.042,157.97,71,19,0.162,388,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?","||I will give you what you need, traveler. Do not ask for a better rate."
gemma-4-E2B-it-Q4_K_M,0.038,164.103,65,19,0.153,472,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?",||Follow the shadow army's path to the capital. Do not look for other routes.
gemma-4-E2B-it-Q4_K_M,0.036,165.666,61,16,0.132,549,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.",|||There are no stories for a traveler like you. Only my commands matter.
gemma-4-E2B-it-Q4_K_M,0.034,170.512,72,17,0.134,638,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?",|||Only my shadow army serves as my force. Do not seek other employment.|
gemma-4-E2B-it-Q4_K_M,0.02,173.722,18,14,0.101,670,What is the name of this town?,|||This is the Obsidian Fortress. Do not ask for more names.
gemma-4-E2B-it-Q4_K_M,0.019,174.811,18,15,0.105,703,Who is in charge around here?,"|||I am Garrick, the Evil King. I am in charge."
gemma-4-E2B-it-Q4_K_M,0.02,177.334,21,17,0.115,741,What kind of goods do the local merchants sell?,|||Local merchants sell nothing of value. Only my dark magic is worth trading.|
gemma-4-E2B-it-Q4_K_M,0.019,174.682,18,16,0.111,775,Have there been any strange rumors lately?,|||There are no strange rumors for a traveler. Only my will is strange.
gemma-4-E2B-it-Q4_K_M,0.02,175.185,23,15,0.106,813,I have ten silver coins. What can that buy me?,|||Ten silver coins buy you nothing. Only my power is worth anything.
gemma-4-E4B-it-Q4_K_M,0.046,88.637,58,21,0.283,299,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?",|Beware the shadow army's patrols near the Obsidian Fortress. My dominion knows no peace for outsiders.
gemma-4-E4B-it-Q4_K_M,0.074,97.974,71,18,0.258,388,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?","|Seek the merchants who serve my needs. They deal in power, not paltry coin."
gemma-4-E4B-it-Q4_K_M,0.058,106.257,65,22,0.265,475,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?",|Follow the path leading toward the Dark Lands. My legions guard the quickest way to my seat of power.
gemma-4-E4B-it-Q4_K_M,0.05,109.796,61,18,0.214,554,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.",|The legends speak only of my rising might. All other tales are dust and weakness.
gemma-4-E4B-it-Q4_K_M,0.048,111.52,72,22,0.245,648,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?",|My shadow army requires strong hands for my dark works. Approach the Obsidian Fortress if you wish to serve.
gemma-4-E4B-it-Q4_K_M,0.029,111.674,19,20,0.208,687,What is the name of this town?,|This place is known only by the fear it inspires. It is a shadow to the world.
gemma-4-E4B-it-Q4_K_M,0.029,111.758,18,15,0.163,720,Who is in charge around here?,|I am the Evil King. I command all things within my reach.
gemma-4-E4B-it-Q4_K_M,0.028,112.095,21,17,0.18,758,What kind of goods do the local merchants sell?,||They sell what I deem necessary for my world domination. Expect iron and despair.
gemma-4-E4B-it-Q4_K_M,0.029,110.735,19,16,0.173,793,Have there been any strange rumors lately?,|||The whispers concern my growing power. Fear is the only true rumor here.
gemma-4-E4B-it-Q4_K_M,0.029,111.126,23,17,0.182,833,I have ten silver coins. What can that buy me?,||It buys you a brief moment of my attention. Nothing more of true worth.
